word,value
है,135943
के,95308
की,76134
से,63449
का,62875
को,56484
में,51119
तो,49341
हो,47721
भी,40579
और,39171
मे,34343
पर,34017
नही,30368
कर,30077
ही,27393
जी,25258
क्या,25214
एक,23761
आप,23157
हैं,21676
नहीं,21077
कि,20542
ने,20113
न,16611
ये,16374
हम,16038
जय,15365
रहा,14798
बात,14664
जो,14513
राम,14139
गया,13125
था,13063
मै,12797
भाई,12790
वो,12346
आज,12232
ना,12181
कुछ,12179
कोई,11562
अब,11245
मेरे,11155
रहे,10695
बहुत,10676
मैं,10577
श्री,10431
लिए,10076
इस,9877
अपने,9871
साथ,9742
व,9587
हे,9441
सब,9142
हूँ,9009
दिन,8940
आ,8911
रही,8708
तुम,8076
तक,8073
दो,8045
हर,8010
या,7945
घर,7790
यह,7697
सभी,7635
हा,7614
करने,7604
किया,7590
कहा,7563
जब,7537
काम,7382
फिर,7325
ठीक,7237
दिल,7214
करते,7195
मुझे,7092
किसी,7035
मेरी,6999
दिया,6768
सा,6607
क,6571
नाम,6476
अपनी,6462
मेरा,6265
दे,6047
होता,6026
लोग,5963
जा,5956
याद,5948
कभी,5943
थे,5892
म,5668
करना,5663
थी,5657
बस,5589
बाद,5479
अभी,5300
फोन,5289
ह,5280
कल,5241
हुआ,5191
भारत,5164
पास,5078
वाले,5067
ले,5011
बार,4911
करो,4889
फोटो,4861
आपको,4732
बोल,4722
सर,4715
शुभ,4659
अगर,4652
मत,4587
करता,4583
अपना,4573
ओर,4566
पे,4517
माँ,4499
समय,4464
कैसे,4450
हमारे,4438
जाता,4371
होगा,4332
तु,4330
देश,4300
हू,4245
मन,4245
पहले,4233
गई,4163
आहे,4074
प्यार,4059
आपके,4050
लिये,4013
अच्छा,4009
जान,4004
काय,3911
होती,3860
र,3852
त,3813
कया,3788
भगवान,3752
वह,3714
स,3639
गये,3637
होने,3617
करे,3604
पता,3570
धन्यवाद,3549
तू,3548
आया,3548
कब,3516
जाने,3511
सकता,3484
तेरी,3440
सही,3366
तब,3360
उस,3337
हमारी,3333
रात,3317
बधाई,3314
हुए,3301
अ,3290
तेरे,3279
हार्दिक,3258
दी,3250
होते,3250
खाना,3224
ऐसा,3186
सो,3182
गयी,3169
लिया,3157
माता,3125
प्रभु,3124
बजे,3121
तरह,3103
सी,3077
राधे,3033
साल,3020
कहाँ,3016
उसे,3013
एवं,3006
हु,2999
जीवन,2988
कौन,2978
बन,2970
आपका,2970
जाते,2962
कम,2957
बना,2948
देख,2901
लगा,2883
वाह,2867
ज,2838
आता,2835
वाला,2832
आपकी,2818
नहि,2805
जाती,2795
चल,2786
यार,2778
लेकिन,2773
हाथ,2752
जिन्दगी,2742
छ,2728
हाँ,2713
गए,2708
हाल,2671
करें,2649
ठिक,2639
क्यों,2614
तेरा,2566
अरे,2564
बोलो,2543
सकते,2524
सरकार,2505
मैने,2499
प,2491
जैसे,2490
यही,2467
ब,2464
देना,2464
परिवार,2457
लोगों,2454
लो,2446
मिल,2442
देखा,2428
ज्यादा,2392
मा,2382
उसका,2373
सबसे,2347
लग,2346
ओ,2341
जाना,2336
वाली,2315
सारी,2301
धर्म,2268
आगे,2250
लेकर,2246
नय,2245
ल,2244
कई,2243
पानी,2224
लाल,2224
ग,2216
तथा,2209
चाहिए,2208
हुई,2199
वही,2198
सुबह,2195
हमें,2188
वा,2169
हाय,2160
उनके,2151
मोदी,2144
दुनिया,2140
खुद,2133
नाही,2127
समाज,2115
आई,2106
समझ,2104
य,2098
कारण,2088
दूर,2079
खा,2068
आपने,2065
वर्ष,2053
हमे,2045
कहते,2039
बाबा,2036
ऐसे,2034
जन्म,2029
सिंह,2019
इन,2019
भेज,2011
कह,1995
ग्रुप,1994
सिर्फ,1991
आने,1991
लगता,1990
करके,1986
जीव,1986
मी,1976
साहब,1963
ऐ,1957
उसके,1945
होना,1939
बता,1892
अाप,1887
इतना,1885
भर,1882
रे,1881
किस,1881
होगी,1866
कुमार,1863
जुन,1846
मिला,1841
बिना,1841
दोस्त,1840
हमारा,1837
शादी,1830
ए,1816
मम,1797
जन्मदिन,1782
हि,1777
प्रेम,1775
लोगो,1772
जुगाड,1768
देते,1761
यहाँ,1735
देने,1727
तूम,1725
लगे,1711
करती,1711
अच्छी,1709
बा,1691
सेवा,1686
रह,1685
यदि,1684
द,1674
द्वारा,1674
बेटा,1666
नमः,1655
चलता,1654
उसकी,1651
कोन,1650
जिस,1645
जाए,1640
वे,1628
देता,1625
मतलब,1621
सामने,1618
हूं,1612
ते,1606
जानकारी,1587
हुँ,1566
च,1559
कितने,1558
भारतीय,1555
बोला,1552
अच्छे,1548
खुश,1541
नया,1538
आदमी,1536
प्रणाम,1536
जाओ,1536
बाहर,1535
पल,1531
आये,1529
चला,1528
दीदी,1522
सफर,1515
होली,1512
जनता,1510
जगह,1509
जाये,1507
जवाब,1502
भ,1496
लेना,1490
दिवस,1488
सुप्रभात,1480
उन,1479
छे,1477
बच्चे,1477
जिंदगी,1468
रूप,1468
ा,1460
मगर,1460
तर,1459
हिन्दू,1457
कैसी,1456
सच,1456
सारे,1450
दोनो,1446
सोच,1444
नगर,1442
हौ,1441
तरफ,1440
अति,1430
ज्ञ,1425
क्यो,1420
नमस्कार,1416
सिह,1415
लिखा,1411
दिल्ली,1409
इसलिए,1408
चार,1403
सुंदर,1395
म्म,1391
शाम,1380
बेटी,1379
बारे,1379
शर्मा,1378
ध्यान,1376
भूल,1375
लाख,1373
रहो,1366
नजर,1363
सुन्दर,1362
बदल,1358
मला,1356
हमने,1355
विचार,1354
मैंने,1349
बहोत,1347
हमेशा,1346
दिवाने,1342
पार्टी,1341
ला,1340
तीन,1336
उनकी,1336
बताओ,1330
वक्त,1326
कितना,1324
गलत,1322
बाकी,1314
पी,1305
प्रकार,1305
ऐसी,1303
श,1302
मि,1300
मंदिर,1299
पूरी,1289
खुशी,1288
भूपालसागर,1285
तुला,1285
महाराज,1279
मुबारक,1277
कृपा,1276
शिक्षा,1275
आदि,1274
शिव,1274
आणि,1273
नी,1273
मिले,1272
कृष्णा,1263
हृदय,1262
अलग,1261
कार्य,1258
बताया,1254
क्योंकि,1252
आए,1250
तुम्हारी,1247
राज,1240
पापा,1239
उसने,1238
बहूत,1237
जल,1236
कूछ,1230
तुझे,1224
प्रभात,1223
खबर,1219
इसे,1211
पण,1211
गाँव,1204
पुलिस,1203
सुख,1202
सकती,1202
पति,1198
शायद,1197
आती,1192
तुमने,1190
पैसा,1185
बनाने,1179
हिन्दी,1177
पोस्ट,1176
देर,1176
इतनी,1174
आना,1173
तुम्हारे,1172
चाहे,1170
पूरा,1169
रहता,1168
कृपया,1163
लगी,1162
पिता,1162
बाय,1161
रहते,1160
चलो,1153
कैसा,1152
रहने,1151
नई,1149
मजा,1148
कै,1145
माना,1145
चले,1142
कहां,1142
रोज,1141
देखो,1139
रंग,1134
चाहिये,1128
राजा,1121
रात्री,1120
